,Company,Year,Number of CSA Articles,Scaled Number of CSA Articles,Normalized Scaled Number of CSA Articles
109,adobe inc,2007.0,4.0,0.0006028636021100226,0.11055011303692538
110,adobe inc,2008.0,5.0,0.0008375209380234506,0.15358040201005024
111,adobe inc,2009.0,13.0,0.0023533671252715426,0.4315486965966691
112,adobe inc,2010.0,9.0,0.0012218300298669563,0.2240530817268531
113,adobe inc,2011.0,3.0,0.00042253521126760566,0.07748239436619718
114,adobe inc,2012.0,3.0,0.000505050505050505,0.09261363636363636
115,adobe inc,2013.0,6.0,0.0009704027171276079,0.1779475982532751
116,adobe inc,2014.0,8.0,0.0011557353366079169,0.21193296735047673
117,adobe inc,2015.0,7.0,0.0009139574356965661,0.16759694477085782
118,adobe inc,2016.0,12.0,0.0019002375296912114,0.3484560570071259
119,adobe inc,2017.0,26.0,0.004575048389934893,0.838949498504311
120,adobe inc,2018.0,15.0,0.0023839796567069293,0.43716226954863313
121,adobe inc,2019.0,15.0,0.0023839796567069293,0.43716226954863313
122,adobe inc,2020.0,20.0,0.00416579879191835,0.7639033534680275
123,adobe inc,2021.0,24.0,0.005182465990066941,0.9503347009285252
124,adobe inc,2022.0,24.0,0.0054533060668029995,1.0
125,advance auto parts inc,2022.0,5.0,0.0165016501650165,1.0
126,advanced micro devices,1988.0,1.0,0.0038314176245210726,0.3448275862068965
127,advanced micro devices,1989.0,1.0,0.003278688524590164,0.29508196721311475
128,advanced micro devices,1990.0,1.0,0.0023923444976076554,0.21531100478468898
129,advanced micro devices,1992.0,1.0,0.0013175230566534915,0.11857707509881422
130,advanced micro devices,1994.0,1.0,0.0012515644555694619,0.11264080100125157
131,advanced micro devices,1998.0,1.0,0.0008795074758135445,0.079155672823219
132,advanced micro devices,2000.0,1.0,0.000663129973474801,0.05968169761273209
133,advanced micro devices,2001.0,1.0,0.0007032348804500703,0.06329113924050633
134,advanced micro devices,2002.0,1.0,0.0007215007215007215,0.06493506493506493
135,advanced micro devices,2004.0,1.0,0.0005263157894736842,0.047368421052631574
136,advanced micro devices,2006.0,1.0,0.00031776294884016526,0.028598665395614873
137,advanced micro devices,2007.0,2.0,0.0010251153254741158,0.09226037929267042
138,advanced micro devices,2008.0,1.0,0.0007352941176470588,0.0661764705882353
139,advanced micro devices,2009.0,4.0,0.003463203463203463,0.3116883116883117
140,advanced micro devices,2011.0,2.0,0.001644736842105263,0.14802631578947367
141,advanced micro devices,2013.0,1.0,0.0009784735812133072,0.08806262230919765
142,advanced micro devices,2015.0,4.0,0.011111111111111112,1.0
143,advanced micro devices,2017.0,1.0,0.0018115942028985507,0.16304347826086957
144,advanced micro devices,2019.0,1.0,0.0016863406408094434,0.1517706576728499
145,advanced micro devices,2020.0,1.0,0.0014992503748125937,0.13493253373313344
146,advanced micro devices,2021.0,1.0,0.0016129032258064516,0.14516129032258063
147,aecom,2007.0,1.0,0.006289308176100629,0.7085953878406709
148,aecom,2010.0,1.0,0.0010526315789473684,0.11859649122807017
149,aecom,2011.0,2.0,0.0022598870056497176,0.2546139359698682
150,aecom,2012.0,1.0,0.0013477088948787063,0.1518418688230009
151,aecom,2014.0,1.0,0.001388888888888889,0.15648148148148147
152,aecom,2015.0,1.0,0.0010526315789473684,0.11859649122807017
153,aecom,2016.0,1.0,0.0008163265306122449,0.09197278911564626
154,aecom,2017.0,3.0,0.002304147465437788,0.2596006144393241
155,aecom,2018.0,2.0,0.0016116035455278,0.1815739994627988
156,aecom,2019.0,2.0,0.0017985611510791368,0.20263788968824942
157,aecom,2020.0,4.0,0.004987531172069825,0.5619285120532003
158,aecom,2021.0,5.0,0.005599104143337066,0.6308324001493094
159,aecom,2022.0,6.0,0.008875739644970414,1.0
160,aflac inc,2000.0,1.0,0.001893939393939394,0.1143939393939394
161,aflac inc,2000.0,1.0,0.001893939393939394,0.1143939393939394
162,aflac inc,2000.0,1.0,0.001893939393939394,0.1143939393939394
163,aflac inc,2000.0,1.0,0.001893939393939394,0.1143939393939394
164,aflac inc,2005.0,2.0,0.0025220680958385876,0.15233291298865068
165,aflac inc,2005.0,2.0,0.0025220680958385876,0.15233291298865068
166,aflac inc,2005.0,2.0,0.0025220680958385876,0.15233291298865068
167,aflac inc,2005.0,2.0,0.0025220680958385876,0.15233291298865068
168,aflac inc,2006.0,1.0,0.0011337868480725624,0.06848072562358276
169,aflac inc,2006.0,1.0,0.0011337868480725624,0.06848072562358276
170,aflac inc,2006.0,1.0,0.0011337868480725624,0.06848072562358276
171,aflac inc,2006.0,1.0,0.0011337868480725624,0.06848072562358276
172,aflac inc,2007.0,1.0,0.0009950248756218905,0.06009950248756218
173,aflac inc,2007.0,1.0,0.0009950248756218905,0.06009950248756218
174,aflac inc,2007.0,1.0,0.0009950248756218905,0.06009950248756218
175,aflac inc,2007.0,1.0,0.0009950248756218905,0.06009950248756218
176,aflac inc,2008.0,4.0,0.0038314176245210726,0.23141762452107276
177,aflac inc,2008.0,4.0,0.0038314176245210726,0.23141762452107276
178,aflac inc,2008.0,4.0,0.0038314176245210726,0.23141762452107276
179,aflac inc,2008.0,4.0,0.0038314176245210726,0.23141762452107276
180,aflac inc,2009.0,9.0,0.00891089108910891,0.5382178217821781
181,aflac inc,2009.0,9.0,0.00891089108910891,0.5382178217821781
182,aflac inc,2009.0,9.0,0.00891089108910891,0.5382178217821781
183,aflac inc,2009.0,9.0,0.00891089108910891,0.5382178217821781
184,aflac inc,2010.0,5.0,0.005246589716684155,0.31689401888772295
185,aflac inc,2010.0,5.0,0.005246589716684155,0.31689401888772295
186,aflac inc,2010.0,5.0,0.005246589716684155,0.31689401888772295
187,aflac inc,2010.0,5.0,0.005246589716684155,0.31689401888772295
188,aflac inc,2011.0,4.0,0.003472222222222222,0.2097222222222222
189,aflac inc,2011.0,4.0,0.003472222222222222,0.2097222222222222
190,aflac inc,2011.0,4.0,0.003472222222222222,0.2097222222222222
191,aflac inc,2011.0,4.0,0.003472222222222222,0.2097222222222222
192,aflac inc,2012.0,2.0,0.002628120893561104,0.15873850197109066
193,aflac inc,2012.0,2.0,0.002628120893561104,0.15873850197109066
194,aflac inc,2012.0,2.0,0.002628120893561104,0.15873850197109066
195,aflac inc,2012.0,2.0,0.002628120893561104,0.15873850197109066
196,aflac inc,2013.0,4.0,0.0056179775280898875,0.3393258426966292
197,aflac inc,2013.0,4.0,0.0056179775280898875,0.3393258426966292
198,aflac inc,2013.0,4.0,0.0056179775280898875,0.3393258426966292
199,aflac inc,2013.0,4.0,0.0056179775280898875,0.3393258426966292
200,aflac inc,2014.0,5.0,0.008976660682226212,0.5421903052064632
201,aflac inc,2014.0,5.0,0.008976660682226212,0.5421903052064632
202,aflac inc,2014.0,5.0,0.008976660682226212,0.5421903052064632
203,aflac inc,2014.0,5.0,0.008976660682226212,0.5421903052064632
204,aflac inc,2015.0,4.0,0.005547850208044383,0.3350901525658807
205,aflac inc,2015.0,4.0,0.005547850208044383,0.3350901525658807
206,aflac inc,2015.0,4.0,0.005547850208044383,0.3350901525658807
207,aflac inc,2015.0,4.0,0.005547850208044383,0.3350901525658807
208,aflac inc,2016.0,7.0,0.013972055888223553,0.8439121756487025
209,aflac inc,2016.0,7.0,0.013972055888223553,0.8439121756487025
210,aflac inc,2016.0,7.0,0.013972055888223553,0.8439121756487025
211,aflac inc,2016.0,7.0,0.013972055888223553,0.8439121756487025
212,aflac inc,2017.0,2.0,0.0034782608695652175,0.21008695652173912
213,aflac inc,2017.0,2.0,0.0034782608695652175,0.21008695652173912
214,aflac inc,2017.0,2.0,0.0034782608695652175,0.21008695652173912
215,aflac inc,2017.0,2.0,0.0034782608695652175,0.21008695652173912
216,aflac inc,2018.0,2.0,0.002962962962962963,0.17896296296296293
217,aflac inc,2018.0,2.0,0.002962962962962963,0.17896296296296293
218,aflac inc,2018.0,2.0,0.002962962962962963,0.17896296296296293
219,aflac inc,2018.0,2.0,0.002962962962962963,0.17896296296296293
220,aflac inc,2019.0,3.0,0.0054446460980036296,0.3288566243194192
221,aflac inc,2019.0,3.0,0.0054446460980036296,0.3288566243194192
222,aflac inc,2019.0,3.0,0.0054446460980036296,0.3288566243194192
223,aflac inc,2019.0,3.0,0.0054446460980036296,0.3288566243194192
224,aflac inc,2021.0,10.0,0.016556291390728478,1.0
225,aflac inc,2021.0,10.0,0.016556291390728478,1.0
226,aflac inc,2021.0,10.0,0.016556291390728478,1.0
227,aflac inc,2021.0,10.0,0.016556291390728478,1.0
228,aflac inc,2022.0,4.0,0.007889546351084813,0.4765285996055227
229,aflac inc,2022.0,4.0,0.007889546351084813,0.4765285996055227
230,aflac inc,2022.0,4.0,0.007889546351084813,0.4765285996055227
231,aflac inc,2022.0,4.0,0.007889546351084813,0.4765285996055227
232,agco corp,2013.0,1.0,0.002631578947368421,1.0
233,airbnb inc,2015.0,10.0,0.0019301293186643506,0.24276737652533834
234,airbnb inc,2016.0,36.0,0.004633801003990218,0.5828291929463252
235,airbnb inc,2017.0,63.0,0.007950530035335688,1.0
236,airbnb inc,2018.0,33.0,0.004187817258883249,0.5267343485617598
237,airbnb inc,2019.0,23.0,0.002689743889603555,0.3383100092256916
238,airbnb inc,2020.0,11.0,0.0015497323189630882,0.19492188722957957
239,airbnb inc,2021.0,15.0,0.002274450341167551,0.2860753095779631
240,airbnb inc,2022.0,30.0,0.004601226993865031,0.5787321063394684
241,alaska air group inc,1993.0,2.0,0.010309278350515464,0.5747422680412371
242,alaska air group inc,1998.0,1.0,0.002824858757062147,0.1574858757062147
243,alaska air group inc,2003.0,1.0,0.002551020408163265,0.14221938775510204
244,alaska air group inc,2010.0,1.0,0.001841620626151013,0.10267034990791897
245,alaska air group inc,2012.0,2.0,0.003968253968253968,0.22123015873015872
246,alaska air group inc,2013.0,4.0,0.008988764044943821,0.501123595505618
247,alaska air group inc,2014.0,1.0,0.002403846153846154,0.13401442307692307
248,alaska air group inc,2015.0,3.0,0.0054446460980036296,0.30353901996370236
249,alaska air group inc,2016.0,5.0,0.00576036866359447,0.32114055299539174
250,alaska air group inc,2017.0,1.0,0.001834862385321101,0.10229357798165138
251,alaska air group inc,2018.0,2.0,0.004597701149425287,0.25632183908045975
252,alaska air group inc,2019.0,4.0,0.0113314447592068,0.6317280453257791
253,alaska air group inc,2020.0,5.0,0.01126126126126126,0.6278153153153153
254,alaska air group inc,2021.0,5.0,0.011848341232227487,0.6605450236966824
255,alaska air group inc,2022.0,8.0,0.017937219730941704,1.0
256,albemarle corp,2001.0,1.0,0.000700770847932726,0.1761737911702873
257,albemarle corp,2008.0,2.0,0.0003744617112900206,0.09413967421831118
258,albemarle corp,2009.0,1.0,0.00022999080036798528,0.057819687212511496
259,albemarle corp,2010.0,2.0,0.0006044122091266244,0.15194922937443336
260,albemarle corp,2011.0,2.0,0.0009910802775024777,0.24915758176412287
261,albemarle corp,2013.0,5.0,0.0021691973969631237,0.5453362255965293
262,albemarle corp,2014.0,3.0,0.001415762151958471,0.3559226050023596
263,albemarle corp,2015.0,4.0,0.0021344717182497333,0.5366061899679829
264,albemarle corp,2016.0,2.0,0.0009852216748768472,0.24768472906403938
265,albemarle corp,2017.0,4.0,0.002284408909194746,0.5743003997715591
266,albemarle corp,2018.0,3.0,0.0018072289156626507,0.45433734939759035
267,albemarle corp,2019.0,3.0,0.0022865853658536584,0.5748475609756097
268,albemarle corp,2020.0,2.0,0.0020408163265306124,0.513061224489796
269,albemarle corp,2021.0,5.0,0.003977724741447892,1.0
270,albemarle corp,2022.0,4.0,0.00375234521575985,0.9433395872420263
271,albertsons cos inc,2016.0,1.0,0.0006565988181221273,0.10213096161881452
272,albertsons cos inc,2017.0,3.0,0.0019059720457433292,0.296465288206076
273,albertsons cos inc,2018.0,3.0,0.0017241379310344827,0.2681818181818182
274,albertsons cos inc,2019.0,4.0,0.00253324889170361,0.3940353503368069
275,albertsons cos inc,2020.0,6.0,0.0034904013961605585,0.5429160717118832
276,albertsons cos inc,2021.0,5.0,0.002802690582959641,0.43594578067672235
277,albertsons cos inc,2022.0,11.0,0.006428988895382817,1.0
278,alcoa corp,2014.0,6.0,0.0017953321364452424,0.26750448833034113
279,alcoa corp,2015.0,11.0,0.003421461897356143,0.5097978227060653
280,alcoa corp,2016.0,4.0,0.0014814814814814814,0.22074074074074074
281,alcoa corp,2017.0,6.0,0.003942181340341655,0.5873850197109066
282,alcoa corp,2018.0,1.0,0.0006153846153846154,0.0916923076923077
283,alcoa corp,2019.0,4.0,0.0029717682020802376,0.4427934621099554
284,alcoa corp,2020.0,7.0,0.006711409395973154,1.0
285,alcoa corp,2021.0,7.0,0.00617828773168579,0.9205648720211828
286,alcoa corp,2022.0,5.0,0.004780114722753346,0.7122370936902486
287,allstate corp,1992.0,1.0,0.0005488474204171241,0.14619923161361142
288,allstate corp,1992.0,1.0,0.0005488474204171241,0.14619923161361142
289,allstate corp,1992.0,1.0,0.0005488474204171241,0.14619923161361142
290,allstate corp,1992.0,1.0,0.0005488474204171241,0.14619923161361142
291,allstate corp,1993.0,4.0,0.0018214936247723133,0.485200364298725
292,allstate corp,1993.0,4.0,0.0018214936247723133,0.485200364298725
293,allstate corp,1993.0,4.0,0.0018214936247723133,0.485200364298725
294,allstate corp,1993.0,4.0,0.0018214936247723133,0.485200364298725
295,allstate corp,1994.0,6.0,0.0031512605042016808,0.8394170168067228
296,allstate corp,1994.0,6.0,0.0031512605042016808,0.8394170168067228
297,allstate corp,1994.0,6.0,0.0031512605042016808,0.8394170168067228
298,allstate corp,1994.0,6.0,0.0031512605042016808,0.8394170168067228
299,allstate corp,1995.0,5.0,0.0025933609958506223,0.6908065352697096
300,allstate corp,1995.0,5.0,0.0025933609958506223,0.6908065352697096
301,allstate corp,1995.0,5.0,0.0025933609958506223,0.6908065352697096
302,allstate corp,1995.0,5.0,0.0025933609958506223,0.6908065352697096
303,allstate corp,1996.0,1.0,0.0005083884087442806,0.13542196237925777
304,allstate corp,1996.0,1.0,0.0005083884087442806,0.13542196237925777
305,allstate corp,1996.0,1.0,0.0005083884087442806,0.13542196237925777
306,allstate corp,1996.0,1.0,0.0005083884087442806,0.13542196237925777
307,allstate corp,1997.0,5.0,0.00249003984063745,0.6632843625498008
308,allstate corp,1997.0,5.0,0.00249003984063745,0.6632843625498008
309,allstate corp,1997.0,5.0,0.00249003984063745,0.6632843625498008
310,allstate corp,1997.0,5.0,0.00249003984063745,0.6632843625498008
311,allstate corp,1998.0,2.0,0.0007209805335255948,0.1920511896178803
312,allstate corp,1998.0,2.0,0.0007209805335255948,0.1920511896178803
313,allstate corp,1998.0,2.0,0.0007209805335255948,0.1920511896178803
314,allstate corp,1998.0,2.0,0.0007209805335255948,0.1920511896178803
315,allstate corp,1999.0,2.0,0.0006002400960384153,0.1598889555822329
316,allstate corp,1999.0,2.0,0.0006002400960384153,0.1598889555822329
317,allstate corp,1999.0,2.0,0.0006002400960384153,0.1598889555822329
318,allstate corp,1999.0,2.0,0.0006002400960384153,0.1598889555822329
319,allstate corp,2000.0,4.0,0.0011785503830288745,0.31393635827931643
320,allstate corp,2000.0,4.0,0.0011785503830288745,0.31393635827931643
321,allstate corp,2000.0,4.0,0.0011785503830288745,0.31393635827931643
322,allstate corp,2000.0,4.0,0.0011785503830288745,0.31393635827931643
323,allstate corp,2001.0,2.0,0.0006333122229259025,0.16869854338188728
324,allstate corp,2001.0,2.0,0.0006333122229259025,0.16869854338188728
325,allstate corp,2001.0,2.0,0.0006333122229259025,0.16869854338188728
326,allstate corp,2001.0,2.0,0.0006333122229259025,0.16869854338188728
327,allstate corp,2002.0,3.0,0.0009205277692543725,0.2452055845351335
328,allstate corp,2002.0,3.0,0.0009205277692543725,0.2452055845351335
329,allstate corp,2002.0,3.0,0.0009205277692543725,0.2452055845351335
330,allstate corp,2002.0,3.0,0.0009205277692543725,0.2452055845351335
331,allstate corp,2003.0,4.0,0.0010937927262783702,0.2913590374624009
332,allstate corp,2003.0,4.0,0.0010937927262783702,0.2913590374624009
333,allstate corp,2003.0,4.0,0.0010937927262783702,0.2913590374624009
334,allstate corp,2003.0,4.0,0.0010937927262783702,0.2913590374624009
335,allstate corp,2004.0,6.0,0.0014877262583684603,0.39629308207289865
336,allstate corp,2004.0,6.0,0.0014877262583684603,0.39629308207289865
337,allstate corp,2004.0,6.0,0.0014877262583684603,0.39629308207289865
338,allstate corp,2004.0,6.0,0.0014877262583684603,0.39629308207289865
339,allstate corp,2005.0,2.0,0.0003124511795032026,0.0832291829401656
340,allstate corp,2005.0,2.0,0.0003124511795032026,0.0832291829401656
341,allstate corp,2005.0,2.0,0.0003124511795032026,0.0832291829401656
342,allstate corp,2005.0,2.0,0.0003124511795032026,0.0832291829401656
343,allstate corp,2006.0,4.0,0.0006060606060606061,0.16143939393939394
344,allstate corp,2006.0,4.0,0.0006060606060606061,0.16143939393939394
345,allstate corp,2006.0,4.0,0.0006060606060606061,0.16143939393939394
346,allstate corp,2006.0,4.0,0.0006060606060606061,0.16143939393939394
347,allstate corp,2007.0,3.0,0.0004431314623338257,0.11803914327917284
348,allstate corp,2007.0,3.0,0.0004431314623338257,0.11803914327917284
